from_station,to_station,speed(km/h),distance(m),travel_time(seconds)
St. Gallen,Gossau SG,118,13761,420
Gossau SG,Flawil,109,7246,240
Flawil,Uzwil,90,7489,300
Uzwil,Wil SG,92,12271,480
Wil SG,Winterthur,133,37758,1020
Winterthur,Zürich Flughafen,116,25120,780
Zürich Flughafen,Zürich HB,70,11735,600
Zürich HB,Bern,162,151439,3360
Bern,Fribourg,112,39066,1260
Fribourg,Lausanne,112,82178,2640
Lausanne,Genève,134,73851,1980
Genève,Genève-Aéroport,63,7402,420
Genève-Aéroport,Genève,63,7402,420
Genève,Lausanne,134,73851,1980
Lausanne,Fribourg,115,82178,2580
Fribourg,Bern,107,39066,1320
Bern,Zürich HB,162,151453,3360
Zürich HB,Zürich Flughafen,64,11735,660
Zürich Flughafen,Winterthur,116,25120,780
Winterthur,Wil SG,133,37758,1020
Wil SG,Uzwil,105,12271,420
Uzwil,Flawil,90,7489,300
Flawil,Gossau SG,109,7246,240
Gossau SG,St. Gallen,103,13761,480
St. Gallen,Gossau SG,118,13761,420
Gossau SG,Flawil,109,7246,240
Flawil,Uzwil,90,7489,300
Uzwil,Wil SG,92,12271,480
Wil SG,Winterthur,133,37758,1020
Winterthur,Zürich Flughafen,116,25120,780
Zürich Flughafen,Zürich HB,70,11735,600
Zürich HB,Bern,162,151439,3360
Bern,Fribourg,112,39066,1260
Fribourg,Lausanne,112,82178,2640
Lausanne,Genève,134,73851,1980
Genève,Genève-Aéroport,63,7402,420
Genève-Aéroport,Genève,63,7402,420
Genève,Lausanne,134,73851,1980
Lausanne,Fribourg,115,82178,2580
Fribourg,Bern,107,39066,1320
Bern,Zürich HB,162,151453,3360
Zürich HB,Zürich Flughafen,64,11735,660
Zürich Flughafen,Winterthur,116,25120,780
Winterthur,Wil SG,133,37758,1020
Wil SG,Uzwil,105,12271,420
Uzwil,Flawil,90,7489,300
Flawil,Gossau SG,109,7246,240
Gossau SG,St. Gallen,103,13761,480
St. Gallen,Gossau SG,118,13761,420
Gossau SG,Flawil,109,7246,240
Flawil,Uzwil,90,7489,300
Uzwil,Wil SG,92,12271,480
Wil SG,Winterthur,133,37758,1020
Winterthur,Zürich Flughafen,116,25120,780
Zürich Flughafen,Zürich HB,70,11735,600
Zürich HB,Bern,162,151439,3360
Bern,Fribourg,112,39066,1260
Fribourg,Lausanne,112,82178,2640
Lausanne,Genève,134,73851,1980
Genève,Genève-Aéroport,63,7402,420
Genève-Aéroport,Genève,63,7402,420
Genève,Lausanne,134,73851,1980
Lausanne,Fribourg,115,82178,2580
Fribourg,Bern,107,39066,1320
Bern,Zürich HB,162,151453,3360
Zürich HB,Zürich Flughafen,64,11735,660
Zürich Flughafen,Winterthur,116,25120,780
Winterthur,Wil SG,133,37758,1020
Wil SG,Uzwil,105,12271,420
Uzwil,Flawil,90,7489,300
Flawil,Gossau SG,109,7246,240
Gossau SG,St. Gallen,103,13761,480
Genève-Aéroport,Genève,63,7402,420
Genève,Lausanne,134,73851,1980
Lausanne,Fribourg,115,82178,2580
Fribourg,Bern,107,39066,1320
Bern,Zürich HB,162,151453,3360
Zürich HB,Zürich Flughafen,64,11735,660
Zürich Flughafen,Winterthur,116,25120,780
Winterthur,Wil SG,133,37758,1020
Wil SG,Uzwil,105,12271,420
