from_station,to_station,speed(km/h),distance(m),travel_time(seconds)
Fiesch,Fürgangen-Bellwald Talstation,30,3842,465
Fürgangen-Bellwald Talstation,Niederwald,63,4954,285
Niederwald,Blitzingen,45,2058,165
Blitzingen,Biel (Goms),74,2172,105
Biel (Goms),Gluringen,43,1962,165
Gluringen,Reckingen,46,1350,105
Reckingen,Münster VS,40,3181,285
Münster VS,Geschinen,69,2009,105
Geschinen,Ulrichen,54,3403,225
Ulrichen,Obergesteln,75,2180,105
Obergesteln,Oberwald,36,2368,240
Oberwald,Realp,67,23042,1245
Realp,Hospental,63,8108,465
Hospental,Andermatt,25,2967,420
Andermatt,Göschenen,20,4641,840
Solothurn,Solothurn West,180,2246,45
Solothurn West,Langendorf,53,2420,165
Langendorf,Lommiswil,108,4956,165
Lommiswil,Im Holz,121,3517,105
Im Holz,Oberdorf SO,34,2235,240
Oberdorf SO,Gänsbrunnen,93,4649,180
Gänsbrunnen,Crémines-Zoo,113,1411,45
Crémines-Zoo,Corcelles BE,74,2163,105
Corcelles BE,Crémines,26,1710,240
Crémines,Grandval,108,1349,45
Grandval,Moutier,48,4803,360
Moutier,Court,81,7719,345
Court,Sorvilier,142,4144,105
Sorvilier,Malleray-Bévilard,52,3438,240
Malleray-Bévilard,Pontenet,83,2413,105
Pontenet,Reconvilier,102,2983,105
Reconvilier,Tavannes,39,3880,360
Tavannes,Sonceboz-Sombeval,77,8979,420
Kleine Scheidegg,Eigergletscher,19,3034,585
Eigergletscher,Jungfraujoch,13,8831,2520
Palézieux,Granges (Veveyse),57,1662,105
Granges (Veveyse),Bossonnens,54,1565,105
Bossonnens,Tatroz,214,2677,45
Tatroz,Remaufens,62,774,45
Remaufens,Au Moulin,85,1062,45
Au Moulin,Châtel-St-Denis,14,927,240
Châtel-St-Denis,Prayoud,66,3027,165
Prayoud,Semsales,66,4100,225
Semsales,La Verrerie,33,1497,165
La Verrerie,Le Crêt,83,2422,105
Le Crêt,Les Ponts,107,4924,165
Les Ponts,Vaulruz-Sud,87,1090,45
Vaulruz-Sud,Les Colombettes,43,1245,105
Les Colombettes,Vuadens-Sud,74,2150,105
Vuadens-Sud,Planchy,65,1894,105
Planchy,Bulle,22,2211,360
Bulle,La Tour-de-Trême,52,1515,105
La Tour-de-Trême,Le Pâquier-Montbarry,43,1263,105
Le Pâquier-Montbarry,Gruyères,47,2132,165
Gruyères,Estavannens,48,2190,165
Estavannens,Enney,72,898,45
Enney,Grandvillard,48,2984,225
Grandvillard,Neirivue,49,2236,165
Neirivue,Albeuve,47,1368,105
Albeuve,Lessoc,46,1348,105
Lessoc,Montbovon,30,2987,360
Montbovon,Lessoc,65,2987,165
Lessoc,Albeuve,29,1348,165
Albeuve,Neirivue,30,1368,165
Neirivue,Grandvillard,36,2236,225
Grandvillard,Enney,65,2984,165
Enney,Estavannens,31,898,105
Estavannens,Gruyères,35,2190,225
Gruyères,Le Pâquier-Montbarry,73,2132,105
Le Pâquier-Montbarry,La Tour-de-Trême,43,1263,105
La Tour-de-Trême,Bulle,23,1515,240
Bulle,Planchy,76,2211,105
Planchy,Vuadens-Sud,65,1894,105
Vuadens-Sud,Les Colombettes,74,2150,105
Les Colombettes,Vaulruz-Sud,100,1245,45
Vaulruz-Sud,Les Ponts,87,1090,45
Les Ponts,Le Crêt,107,4924,165
Le Crêt,La Verrerie,39,2422,225
La Verrerie,Semsales,51,1497,105
Semsales,Prayoud,66,4100,225
Prayoud,Châtel-St-Denis,36,3027,300
Châtel-St-Denis,Au Moulin,74,927,45
Au Moulin,Remaufens,85,1062,45
Remaufens,Tatroz,62,774,45
Tatroz,Bossonnens,92,2677,105
Bossonnens,Granges (Veveyse),54,1565,105
Granges (Veveyse),Palézieux,17,1662,360
Solothurn,Biberist Ost,88,6991,285
Biberist Ost,Gerlafingen,34,999,105
Gerlafingen,Wiler,48,2397,180
Wiler,Utzenstorf,86,2512,105
Utzenstorf,Aefligen,66,4104,225
Aefligen,Kirchberg-Alchenflüh,50,2503,180
Kirchberg-Alchenflüh,Burgdorf Buchmatt,133,3881,105
Burgdorf Buchmatt,Burgdorf,26,1302,180
Thun,Schwäbis,116,1450,45
Schwäbis,Steffisburg,40,1171,105
Steffisburg,Lädeli,99,1243,45
Lädeli,Heimberg,21,1048,180
Heimberg,Brenzikofen,78,3554,165
Brenzikofen,Oberdiessbach,50,2521,180
Oberdiessbach,Stalden i.E.,84,3871,165
Stalden i.E.,Konolfingen,27,1328,180
Konolfingen,Grosshöchstetten,79,4951,225
Grosshöchstetten,Biglen,58,2887,180
Biglen,Walkringen,79,3621,165
Walkringen,Bigenthal,74,2171,105
Bigenthal,Schafhausen i.E.,82,5128,225
Schafhausen i.E.,Hasle-Rüegsau,32,2683,300
Hasle-Rüegsau,Oberburg,88,4055,165
Oberburg,Burgdorf Steinhof,62,1801,105
Burgdorf Steinhof,Burgdorf,34,2244,240
Andermatt,Göschenen,19,4641,900
Göschenen,Andermatt,28,4641,600
Zweisimmen,Grubenwald,112,3257,105
Grubenwald,Weissenbach,51,3173,225
Weissenbach,Boltigen,71,3261,165
Boltigen,Enge im Simmental,90,4105,165
Enge im Simmental,Oberwil im Simmental,77,2250,105
Oberwil im Simmental,Weissenburg,75,4675,225
Weissenburg,Därstetten,75,2191,105
Därstetten,Ringoldingen,73,3348,165
Ringoldingen,Erlenbach im Simmental,45,3530,285
Erlenbach im Simmental,Oey-Diemtigen,94,2732,105
Oey-Diemtigen,Burgholz,67,3080,165
Burgholz,Wimmis,52,3478,240
Wimmis,Eifeld,99,1234,45
Eifeld,Lattigen bei Spiez,46,1338,105
Lattigen bei Spiez,Spiez,46,3073,240
Spiez,Thun,91,12101,480
Thun,Münsingen,111,16172,525
Münsingen,Bern,99,19771,720
Bern,Münsingen,132,19771,540
Münsingen,Thun,97,16172,600
Thun,Spiez,81,12101,540
Spiez,Lattigen bei Spiez,105,3073,105
Lattigen bei Spiez,Eifeld,107,1338,45
Eifeld,Wimmis,42,1234,105
Wimmis,Burgholz,76,3478,165
Burgholz,Oey-Diemtigen,106,3080,105
Oey-Diemtigen,Erlenbach im Simmental,44,2732,225
Erlenbach im Simmental,Ringoldingen,121,3530,105
Ringoldingen,Därstetten,73,3348,165
Därstetten,Weissenburg,75,2191,105
Weissenburg,Oberwil im Simmental,75,4675,225
Oberwil im Simmental,Enge im Simmental,77,2250,105
Enge im Simmental,Boltigen,49,4105,300
Boltigen,Zweisimmen,73,9691,480
Biel/Bienne,Biel Mett,159,4647,105
Biel Mett,Pieterlen,121,7577,225
Pieterlen,Lengnau,50,3141,225
Lengnau,Grenchen Süd,80,3992,180
Grenchen Süd,Bettlach,108,3157,105
Bettlach,Selzach,64,3190,180
Selzach,Bellach,149,4359,105
Bellach,Solothurn West,91,4154,165
Solothurn West,Solothurn,67,2246,120
Solothurn,Luterbach-Attisholz,132,3860,105
Luterbach-Attisholz,Deitingen,87,3992,165
Deitingen,Wangen an der Aare,72,4505,225
Wangen an der Aare,Niederbipp,82,6838,300
Niederbipp,Oensingen,71,2378,120
Oensingen,Oberbuchsiten,156,7162,165
Oberbuchsiten,Egerkingen,65,3237,180
Egerkingen,Hägendorf,115,5263,165
Hägendorf,Wangen bei Olten,65,2999,165
Wangen bei Olten,Olten Hammer,117,3406,105
Olten Hammer,Olten,25,1685,240
Olten,Olten Hammer,58,1685,105
Olten Hammer,Wangen bei Olten,74,3406,165
Wangen bei Olten,Hägendorf,103,2999,105
Hägendorf,Egerkingen,84,5263,225
Egerkingen,Oberbuchsiten,111,3237,105
Oberbuchsiten,Oensingen,86,7162,300
Oensingen,Niederbipp,71,2378,120
Niederbipp,Wangen an der Aare,103,6838,240
Wangen an der Aare,Deitingen,154,4505,105
Deitingen,Luterbach-Attisholz,87,3992,165
Luterbach-Attisholz,Solothurn,58,3860,240
Solothurn,Solothurn West,180,2246,45
Solothurn West,Bellach,91,4154,165
Bellach,Selzach,87,4359,180
Selzach,Bettlach,109,3190,105
Bettlach,Grenchen Süd,63,3157,180
Grenchen Süd,Lengnau,120,3992,120
Lengnau,Pieterlen,108,3141,105
Pieterlen,Biel Mett,121,7577,225
Biel Mett,Biel/Bienne,56,4647,300
Villars-sur-Ollon,Arveyes,12,755,225
Arveyes,La Clairière,38,1099,105
La Clairière,La Barboleuse,28,1262,165
La Barboleuse,Gryon Bois-Gentil,24,694,105
Gryon Bois-Gentil,Gryon,24,1092,165
Gryon,Gryon-Chalméry,77,966,45
Gryon-Chalméry,Les Posses,12,729,225
Les Posses,Fontannaz-Seulaz,19,1487,285
Fontannaz-Seulaz,Bévieux,20,3317,585
Bévieux,Foyer Dents-du-Midi,26,321,45
Foyer Dents-du-Midi,Les Salines,34,423,45
Les Salines,Grand-Moulin,40,494,45
Grand-Moulin,Bex Pont-Neuf,39,490,45
Bex Pont-Neuf,Bex-Place-du-Marché,29,843,105
Bex-Place-du-Marché,La Ruaz,15,694,165
La Ruaz,Bex,15,774,180
Ins,Ins Dorf,28,1299,165
Ins Dorf,Brüttelen,80,4990,225
Brüttelen,Finsterhennen,123,3577,105
Finsterhennen,Siselen BE,16,456,105
Siselen BE,Lüscherz,46,2094,165
Lüscherz,Hagneck,46,1333,105
Hagneck,Täuffelen,41,2052,180
Täuffelen,Gerolfingen,44,1294,105
Gerolfingen,Mörigen,124,1555,45
Mörigen,Lattrigen,33,1516,165
Lattrigen,Sutz,63,793,45
Sutz,Ipsach Herdi,127,1592,45
Ipsach Herdi,Ipsach,75,943,45
Ipsach,Nidau Beunden,57,714,45
Nidau Beunden,Nidau,9,412,165
Nidau,Biel/Bienne ASM-bti,22,1447,240
Biel/Bienne ASM-bti,Nidau,50,1447,105
Nidau,Nidau Beunden,33,412,45
Nidau Beunden,Ipsach,57,714,45
Ipsach,Ipsach Herdi,75,943,45
Ipsach Herdi,Sutz,55,1592,105
Sutz,Lattrigen,17,793,165
Lattrigen,Mörigen,52,1516,105
Mörigen,Gerolfingen,124,1555,45
Gerolfingen,Täuffelen,26,1294,180
Täuffelen,Hagneck,70,2052,105
Hagneck,Lüscherz,46,1333,105
Lüscherz,Siselen BE,46,2094,165
Siselen BE,Finsterhennen,36,456,45
Finsterhennen,Brüttelen,123,3577,105
Brüttelen,Ins Dorf,80,4990,225
Ins Dorf,Ins,26,1299,180
Wil SG,Münchwilen TG,85,5311,225
Münchwilen TG,Münchwilen Pflegeheim,32,921,105
Münchwilen Pflegeheim,Rosental,50,2273,165
Rosental,Wängi,57,2612,165
Wängi,Wiesengrund,61,763,45
Wiesengrund,Jakobstal,79,987,45
Jakobstal,Matzingen,41,1902,165
Matzingen,Weberei Matzingen,114,1427,45
Weberei Matzingen,Murkart,50,1452,105
Murkart,Lüdem,59,1711,105
Lüdem,Frauenfeld Marktplatz,65,1891,105
Frauenfeld Marktplatz,Frauenfeld,12,799,240
Frauenfeld,Frauenfeld Marktplatz,27,799,105
Frauenfeld Marktplatz,Lüdem,65,1891,105
Lüdem,Murkart,59,1711,105
Murkart,Weberei Matzingen,50,1452,105
Weberei Matzingen,Matzingen,49,1427,105
Matzingen,Jakobstal,65,1902,105
Jakobstal,Wiesengrund,79,987,45
Wiesengrund,Wängi,26,763,105
Wängi,Rosental,57,2612,165
Rosental,Münchwilen Pflegeheim,78,2273,105
Münchwilen Pflegeheim,Münchwilen TG,32,921,105
Münchwilen TG,Wil SG,46,5311,420
Solothurn,Solothurn West,180,2246,45
Solothurn West,Bellach,91,4154,165
Bellach,Selzach,87,4359,180
Selzach,Bettlach,109,3190,105
Bettlach,Grenchen Süd,63,3157,180
Grenchen Süd,Lengnau,120,3992,120
Lengnau,Pieterlen,108,3141,105
Pieterlen,Biel Mett,121,7577,225
Biel Mett,Biel/Bienne,56,4647,300
Biel/Bienne,Biel Mett,159,4647,105
Biel Mett,Pieterlen,121,7577,225
Pieterlen,Lengnau,63,3141,180
Lengnau,Grenchen Süd,87,3992,165
Grenchen Süd,Bettlach,108,3157,105
Bettlach,Selzach,64,3190,180
Selzach,Bellach,149,4359,105
Bellach,Solothurn West,91,4154,165
Solothurn West,Solothurn,45,2246,180
Meiringen,Brienzwiler,112,10718,345
Brienzwiler,Brienz,73,6120,300
Brienz,Brienz West,75,2178,105
Brienz West,Ebligen,79,3603,165
Ebligen,Oberried am Brienzersee,60,4032,240
Oberried am Brienzersee,Niederried,92,4201,165
Niederried,Ringgenberg,56,3481,225
Ringgenberg,Interlaken Ost,46,3843,300
Interlaken Ost,Ringgenberg,84,3843,165
Ringgenberg,Niederried,56,3481,225
Niederried,Oberried am Brienzersee,63,4201,240
Oberried am Brienzersee,Ebligen,88,4032,165
Ebligen,Brienz West,79,3603,165
Brienz West,Brienz,33,2178,240
Brienz,Brienzwiler,77,6120,285
Brienzwiler,Meiringen,80,10718,480
Rapperswil,Blumenau,99,2890,105
Blumenau,Schmerikon,121,11614,345
Schmerikon,Uznach,61,4037,240
Uznach,Benken SG,131,3829,105
Benken SG,Schänis,113,7079,225
Schänis,Ziegelbrücke,37,3121,300
Ziegelbrücke,Nieder- und Oberurnen,65,1894,105
Nieder- und Oberurnen,Näfels-Mollis,56,2821,180
Näfels-Mollis,Netstal,90,4137,165
Netstal,Glarus,40,3315,300
Glarus,Ennenda,78,975,45
Ennenda,Mitlödi,63,2906,165
Mitlödi,Schwanden GL,48,1594,120
Schwanden GL,Nidfurn-Haslen,88,2579,105
Nidfurn-Haslen,Leuggelbach,61,1768,105
Leuggelbach,Luchsingen-Hätzingen,31,1561,180
Luchsingen-Hätzingen,Diesbach-Betschwanden,99,2875,105
Diesbach-Betschwanden,Rüti GL,42,1937,165
Rüti GL,Linthal Braunwaldbahn,47,1368,105
Linthal Braunwaldbahn,Linthal,13,632,180
Linthal,Linthal Braunwaldbahn,22,632,105
Linthal Braunwaldbahn,Rüti GL,109,1368,45
Rüti GL,Diesbach-Betschwanden,66,1937,105
Diesbach-Betschwanden,Luchsingen-Hätzingen,58,2875,180
Luchsingen-Hätzingen,Leuggelbach,125,1561,45
Leuggelbach,Nidfurn-Haslen,61,1768,105
Nidfurn-Haslen,Schwanden GL,31,2579,300
Schwanden GL,Mitlödi,55,1594,105
Mitlödi,Ennenda,63,2906,165
Ennenda,Glarus,20,975,180
Glarus,Netstal,72,3315,165
Netstal,Näfels-Mollis,66,4137,225
Näfels-Mollis,Nieder- und Oberurnen,97,2821,105
Nieder- und Oberurnen,Ziegelbrücke,23,1894,300
Ziegelbrücke,Schänis,68,3121,165
Schänis,Benken SG,113,7079,225
Benken SG,Uznach,57,3829,240
Uznach,Schmerikon,121,4037,120
Schmerikon,Blumenau,147,11614,285
Blumenau,Rapperswil,43,2890,240
Ziegelbrücke,Weesen,137,3982,105
Weesen,Mühlehorn,111,8763,285
Mühlehorn,Murg,105,4802,165
Murg,Unterterzen,73,4544,225
Unterterzen,Mols,84,2455,105
Mols,Walenstadt,62,4103,240
Walenstadt,Flums,103,4724,165
Flums,Mels,95,9083,345
Mels,Sargans,41,3268,285
Sargans,Bad Ragaz,93,7745,300
Bad Ragaz,Maienfeld,97,2816,105
Maienfeld,Landquart,74,4946,240
Landquart,Chur,104,13841,480
Chur,Landquart,104,13841,480
Landquart,Maienfeld,99,4946,180
Maienfeld,Bad Ragaz,84,2816,120
Bad Ragaz,Sargans,116,7745,240
Sargans,Mels,112,3268,105
Mels,Flums,115,9083,285
Flums,Walenstadt,94,4724,180
Walenstadt,Mols,141,4103,105
Mols,Unterterzen,49,2455,180
Unterterzen,Murg,99,4544,165
Murg,Mühlehorn,50,4802,345
Mühlehorn,Weesen,140,8763,225
Weesen,Ziegelbrücke,48,3982,300
Landquart,Malans,100,2906,105
Malans,Grüsch,84,8090,345
Grüsch,Schiers,39,5022,465
Schiers,Jenaz,74,5836,285
Jenaz,Küblis,55,6424,420
Küblis,Saas im Prättigau,96,4399,165
Saas im Prättigau,Klosters Dorf,27,8088,1080
Klosters Dorf,Klosters Platz,40,1987,180
Klosters Platz,Cavadürli,59,5690,345
Cavadürli,Davos Laret,48,4631,345
Davos Laret,Davos Wolfgang,45,3583,285
Davos Wolfgang,Davos Dorf,30,4406,525
Davos Dorf,Davos Platz,25,3371,480
Disentis/Mustér,Acla da Fontauna,38,1761,165
Acla da Fontauna,Segnas,46,2125,165
Segnas,Mumpé Tujetsch,51,2325,165
Mumpé Tujetsch,Bugnei,69,4319,225
Bugnei,Sedrun,59,1969,120
Sedrun,Rueras,62,1806,105
Rueras,Dieni,38,1760,165
Dieni,Tschamut-Selva,42,4685,405
Tschamut-Selva,Oberalppass,42,4936,420
Oberalppass,Nätschen,38,6853,645
Nätschen,Andermatt,21,6266,1080
Andermatt,Nätschen,39,6266,585
Nätschen,Oberalppass,41,6853,600
Oberalppass,Tschamut-Selva,28,4936,645
Tschamut-Selva,Dieni,35,4685,480
Dieni,Rueras,60,1760,105
Rueras,Sedrun,54,1806,120
Sedrun,Bugnei,68,1969,105
Bugnei,Mumpé Tujetsch,55,4319,285
Mumpé Tujetsch,Segnas,51,2325,165
Segnas,Acla da Fontauna,34,2125,225
Acla da Fontauna,Disentis/Mustér,18,1761,360
Andermatt,Nätschen,43,6266,525
Nätschen,Oberalppass,41,6853,600
Innertkirchen MIB,Innertkirchen Post MIB,25,739,105
Innertkirchen Post MIB,Aareschlucht West,63,3966,225
Aareschlucht West,Meiringen MIB,18,1496,300
Klosters Platz,Davos Dorf,55,18310,1200
Davos Dorf,Davos Platz,40,3371,300
Landquart,Grüsch,98,10996,405
Grüsch,Schiers,75,5022,240
Schiers,Küblis,67,12260,660
Küblis,Klosters Platz,62,14474,840
Klosters Platz,Cavadürli,72,5690,285
Cavadürli,Davos Laret,48,4631,345
Davos Laret,Davos Wolfgang,45,3583,285
Davos Wolfgang,Davos Dorf,46,4406,345
Davos Dorf,Davos Platz,40,3371,300
Solothurn,Biberist RBS,116,5336,165
Biberist RBS,Bätterkinden,61,7918,465
Bätterkinden,Jegenstorf,67,10822,585
Jegenstorf,Bern RBS,58,15571,960
Bern RBS,Jegenstorf,73,15571,765
Jegenstorf,Grafenried,87,3968,165
Grafenried,Fraubrunnen,52,1517,105
Fraubrunnen,Schalunen,62,2858,165
Schalunen,Bätterkinden,40,2479,225
Bätterkinden,Lohn-Lüterkofen,86,3961,165
Lohn-Lüterkofen,Biberist RBS,63,3957,225
Biberist RBS,Solothurn,64,5336,300
Solothurn,Biberist RBS,116,5336,165
Biberist RBS,Lohn-Lüterkofen,63,3957,225
Lohn-Lüterkofen,Bätterkinden,63,3961,225
Bätterkinden,Büren zum Hof,91,4172,165
Büren zum Hof,Fraubrunnen,40,1165,105
Fraubrunnen,Grafenried,121,1517,45
Grafenried,Jegenstorf,63,3968,225
Jegenstorf,Bern RBS,58,15571,960
St. Moritz,Celerina,70,3195,165
Celerina,Samedan,42,2794,240
Samedan,Preda,80,15973,720
Preda,Bergün/Bravuogn,54,15161,1005
Bergün/Bravuogn,Filisur,50,10783,780
Filisur,Tiefencastel,65,14035,780
Tiefencastel,Thusis,62,16630,960
Thusis,Reichenau-Tamins,64,20312,1140
Reichenau-Tamins,Chur,80,13376,600
Chur,Domat/Ems,92,8813,345
Domat/Ems,Reichenau-Tamins,73,4563,225
Reichenau-Tamins,Thusis,61,20312,1200
Thusis,Tiefencastel,60,16630,1005
Tiefencastel,Filisur,60,14035,840
Filisur,Bergün/Bravuogn,59,10783,660
Bergün/Bravuogn,Preda,58,15161,945
Preda,Spinas,85,8188,345
Spinas,Samedan,47,7785,600
Samedan,Celerina,61,2794,165
Celerina,St. Moritz,38,3195,300
Scuol-Tarasp,Ftan Baraigla,111,3223,105
Ftan Baraigla,Ardez,76,7242,345
Ardez,Guarda,90,5626,225
Guarda,Lavin,74,4605,225
Lavin,Sagliains,42,2102,180
Sagliains,Klosters Platz,83,29057,1260
Klosters Platz,Klosters Dorf,43,1987,165
Klosters Dorf,Saas im Prättigau,63,8088,465
Saas im Prättigau,Küblis,44,4399,360
Küblis,Jenaz,55,6424,420
Jenaz,Schiers,70,5836,300
Schiers,Malans,102,13112,465
Malans,Landquart,35,2906,300
Landquart,Landquart Ried,115,1439,45
Landquart Ried,Igis,32,936,105
Igis,Zizers,65,1902,105
Zizers,Untervaz-Trimmis,23,1881,300
Untervaz-Trimmis,Haldenstein,88,5481,225
Haldenstein,Chur Wiesental,59,1716,105
Chur Wiesental,Chur,17,1116,240
Chur,Reichenau-Tamins,92,13376,525
Reichenau-Tamins,Trin,82,6503,285
Trin,Versam-Safien,63,6079,345
Versam-Safien,Valendas-Sagogn,84,5273,225
Valendas-Sagogn,Castrisch,46,5159,405
Castrisch,Ilanz,45,2996,240
Ilanz,Rueun,91,7185,285
Rueun,Waltensburg/Vuorz,100,2903,105
Waltensburg/Vuorz,Tavanasa-Breil/Brigels,70,6715,345
Tavanasa-Breil/Brigels,Trun,87,8368,345
Trun,Rabius-Surrein,63,4199,240
Rabius-Surrein,Sumvitg-Cumpadials,106,3088,105
Sumvitg-Cumpadials,Disentis/Mustér,45,8918,720
Disentis/Mustér,Sumvitg-Cumpadials,79,8918,405
Sumvitg-Cumpadials,Rabius-Surrein,46,3088,240
Rabius-Surrein,Trun,92,4199,165
Trun,Tavanasa-Breil/Brigels,72,8368,420
Tavanasa-Breil/Brigels,Waltensburg/Vuorz,107,6715,225
Waltensburg/Vuorz,Rueun,100,2903,105
Rueun,Ilanz,62,7185,420
Ilanz,Castrisch,90,2996,120
Castrisch,Valendas-Sagogn,83,5159,225
Valendas-Sagogn,Versam-Safien,67,5273,285
Versam-Safien,Trin,97,6079,225
Trin,Reichenau-Tamins,49,6503,480
Reichenau-Tamins,Domat/Ems,100,4563,165
Domat/Ems,Chur West,109,6816,225
Chur West,Chur,24,1997,300
Chur,Chur Wiesental,38,1116,105
Chur Wiesental,Haldenstein,59,1716,105
Haldenstein,Untervaz-Trimmis,55,5481,360
Untervaz-Trimmis,Zizers,64,1881,105
Zizers,Igis,65,1902,105
Igis,Landquart Ried,32,936,105
Landquart Ried,Landquart,22,1439,240
Landquart,Malans,63,2906,165
Malans,Schiers,87,13112,540
Schiers,Jenaz,74,5836,285
Jenaz,Küblis,55,6424,420
Küblis,Saas im Prättigau,96,4399,165
Saas im Prättigau,Klosters Dorf,50,8088,585
Klosters Dorf,Klosters Platz,30,1987,240
Klosters Platz,Sagliains,92,29057,1140
Sagliains,Lavin,72,2102,105
Lavin,Guarda,74,4605,225
Guarda,Ardez,90,5626,225
Ardez,Scuol-Tarasp,52,10465,720
Bern,Fribourg,112,39066,1260
Fribourg,Romont,118,33418,1020
Romont,Bulle,77,23100,1080
Bulle,Romont,82,23100,1020
Romont,Fribourg,118,33418,1020
Fribourg,Bern,107,39066,1320
Bellinzona,Giubiasco,72,3624,180
Giubiasco,Lamone-Cadempino,83,26301,1140
Lamone-Cadempino,Lugano,72,4782,240
Lugano,Mendrisio,81,19975,885
Mendrisio,Chiasso,69,9251,480
Lausanne,Renens VD,91,6090,240
Renens VD,Morges,104,10353,360
Morges,Allaman,121,12074,360
Allaman,Rolle,107,7147,240
Rolle,Gland,110,9178,300
Gland,Nyon,81,5403,240
Nyon,Coppet,94,9393,360
Coppet,Genève,95,14213,540
Genève,Coppet,95,14213,540
Coppet,Nyon,113,9393,300
Nyon,Gland,81,5403,240
Gland,Rolle,110,9178,300
Rolle,Allaman,107,7147,240
Allaman,Morges,121,12074,360
Morges,Renens VD,89,10353,420
Renens VD,Lausanne,73,6090,300
Delle,Boncourt,41,1208,105
Boncourt,Buix,79,2308,105
Buix,Grandgourt,81,2374,105
Grandgourt,Courtemaîche,37,1700,165
Courtemaîche,Courchavon,68,1992,105
Courchavon,Porrentruy,46,3796,300
Porrentruy,Courgenay,82,6806,300
Courgenay,Bassecourt,113,18304,585
Bassecourt,Delémont,82,12264,540
Delémont,Moutier,84,12663,540
Moutier,Grenchen Nord,97,11337,420
Grenchen Nord,Biel/Bienne,110,18337,600
Biel/Bienne,Grenchen Nord,122,18337,540
Grenchen Nord,Moutier,97,11337,420
Moutier,Delémont,76,12663,600
Delémont,Bassecourt,128,12264,345
Bassecourt,Courgenay,100,18304,660
Courgenay,Porrentruy,68,6806,360
Porrentruy,Courchavon,83,3796,165
Courchavon,Courtemaîche,60,1992,120
Courtemaîche,Grandgourt,58,1700,105
Grandgourt,Buix,81,2374,105
Buix,Boncourt,69,2308,120
Boncourt,Delle,24,1208,180
Lausanne,Renens VD,91,6090,240
Renens VD,Morges,104,10353,360
Morges,Rolle,115,19221,600
Rolle,Nyon,109,14581,480
Nyon,Coppet,94,9393,360
Coppet,Genève,95,14213,540
Genève,Coppet,95,14213,540
Coppet,Nyon,113,9393,300
Nyon,Rolle,109,14581,480
Rolle,Morges,128,19221,540
Morges,Renens VD,89,10353,420
Renens VD,Lausanne,73,6090,300
Neuchâtel,Chambrelien,108,14447,480
Chambrelien,Les Hauts-Geneveys,90,11978,480
Les Hauts-Geneveys,La Chaux-de-Fonds,89,10375,420
La Chaux-de-Fonds,Le Crêt-du-Locle,110,5040,165
Le Crêt-du-Locle,Le Locle,60,5005,300
Le Locle,La Chaux-de-Fonds,100,10045,360
La Chaux-de-Fonds,Les Hauts-Geneveys,89,10375,420
Les Hauts-Geneveys,Chambrelien,90,11978,480
Chambrelien,Neuchâtel,96,14447,540
Payerne,Lucens,95,17399,660
Lucens,Moudon,95,6306,240
Moudon,Palézieux,79,19654,900
Palézieux,Puidoux-Chexbres,87,10173,420
Puidoux-Chexbres,Lausanne,90,16490,660
Biel/Bienne,Lyss,100,13361,480
Lyss,Bern,108,28773,960
Bern,Lyss,115,28773,900
Lyss,Biel/Bienne,100,13361,480
Bern,Kerzers,111,29554,960
Kerzers,Ins,130,10817,300
Ins,Neuchâtel,80,18748,840
Neuchâtel,Ins,125,18748,540
Ins,Kerzers,130,10817,300
Kerzers,Bern,99,29554,1080
Zweisimmen,Boltigen,75,9691,465
Boltigen,Erlenbach im Simmental,72,20099,1005
Erlenbach im Simmental,Oey-Diemtigen,94,2732,105
Oey-Diemtigen,Wimmis,58,6558,405
Wimmis,Spiez,56,5645,360
Spiez,Wimmis,90,5645,225
Wimmis,Oey-Diemtigen,83,6558,285
Oey-Diemtigen,Erlenbach im Simmental,35,2732,285
Erlenbach im Simmental,Boltigen,71,20099,1020
Boltigen,Zweisimmen,65,9691,540
Thun,Spiez,81,12101,540
Spiez,Mülenen,105,8282,285
Mülenen,Reichenbach im Kandertal,47,1359,105
Reichenbach im Kandertal,Frutigen,75,6279,300
Frutigen,Kandersteg,73,19400,960
Kandersteg,Goppenstein,96,19219,720
Goppenstein,Hohtenn,76,6020,285
Hohtenn,Ausserberg,86,9649,405
Ausserberg,Eggerberg,169,4937,105
Eggerberg,Lalden,110,3219,105
Lalden,Brig,50,9165,660
Bern,Münsingen,132,19771,540
Münsingen,Thun,97,16172,600
Thun,Spiez,81,12101,540
Spiez,Mülenen,105,8282,285
Mülenen,Reichenbach im Kandertal,47,1359,105
Reichenbach im Kandertal,Frutigen,75,6279,300
Frutigen,Kandersteg,73,19400,960
Kandersteg,Goppenstein,96,19219,720
Goppenstein,Hohtenn,76,6020,285
Hohtenn,Ausserberg,86,9649,405
Ausserberg,Eggerberg,169,4937,105
Eggerberg,Lalden,110,3219,105
Lalden,Brig,50,9165,660
Bern,Münsingen,132,19771,540
Münsingen,Thun,97,16172,600
Thun,Spiez,81,12101,540
Spiez,Lattigen bei Spiez,105,3073,105
Lattigen bei Spiez,Eifeld,107,1338,45
Eifeld,Wimmis,42,1234,105
Wimmis,Burgholz,76,3478,165
Burgholz,Oey-Diemtigen,106,3080,105
Oey-Diemtigen,Erlenbach im Simmental,44,2732,225
Erlenbach im Simmental,Ringoldingen,121,3530,105
Ringoldingen,Därstetten,73,3348,165
