8503403,Hüntwangen-Wil,0,0,0,0,0,3,4,5,4,4,4,4,4,4,4,4,5,5,5,5,4,4,4,4,0,0,0,0,0,3,4,5,4,4,4,4,4,4,4,4,5,5,5,5,4,4,4,4
8503404,Rafz,0,0,0,0,0,3,5,6,5,4,4,4,4,4,4,4,5,5,5,5,4,4,4,4,0,0,0,0,0,3,5,6,5,4,4,4,4,4,4,4,5,5,5,5,4,4,4,4
8503405,Zweidlen,0,0,0,0,0,1,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,0,0,0,0,0,1,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
8503408,Rekingen AG,0,0,0,0,1,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,0,0,0,0,1,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
8503409,Bad Zurzach,0,0,0,0,0,3,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,0,0,0,0,0,3,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
8503410,Rietheim,0,0,0,0,0,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,0,0,0,0,0,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
8503411,Koblenz Dorf,0,0,0,0,0,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,0,0,0,0,0,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
8503413,Kaiserstuhl AG,0,0,0,0,0,1,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,0,0,0,0,0,1,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
8503414,Mellikon,0,0,0,0,0,1,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,0,0,0,0,0,1,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
8503415,Rümikon AG,0,0,0,0,0,1,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,0,0,0,0,0,1,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
8503420,Lottstetten,0,0,0,0,0,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
8503421,Jestetten,0,0,0,0,0,3,4,3,2,2,2,2,2,2,2,2,3,3,3,3,2,2,2,2,0,0,0,0,0,3,4,3,2,2,2,2,2,2,2,2,3,3,3,3,2,2,2,2
8503423,Neuhausen,0,0,0,0,1,6,12,12,6,6,6,6,6,6,6,6,10,8,11,8,6,5,4,5,0,0,0,0,1,5,12,12,6,6,6,6,6,6,6,6,10,8,11,8,6,5,4,5
8503424,Schaffhausen,0,0,0,0,1,9,21,18,15,13,13,13,13,13,13,13,15,18,16,16,13,13,9,9,0,0,0,0,1,9,19,20,15,13,13,13,13,13,13,13,15,18,16,16,13,13,9,9
8503425,Feuerthalen,0,0,0,0,0,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
8503426,Langwiesen,0,0,0,0,0,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
8503427,Schlatt,0,0,0,0,0,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
8503428,Diessenhofen,0,0,0,0,0,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
8503429,Schlattingen,0,0,0,0,0,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
8503501,Döttingen,0,0,0,0,0,2,4,4,2,2,2,2,2,2,2,2,2,3,3,2,2,2,2,2,0,0,0,0,0,2,4,4,2,2,2,2,2,2,2,2,2,3,3,2,2,2,2,2
8503502,Siggenthal-Würenlingen,0,0,0,0,0,3,3,4,2,2,2,2,2,2,2,2,2,3,3,2,2,2,2,2,0,0,0,0,0,3,3,4,2,2,2,2,2,2,2,2,2,3,3,2,2,2,2,2
8503503,Turgi,1,0,0,0,0,9,14,14,11,10,10,11,12,11,11,11,11,13,13,11,10,9,9,8,1,0,0,0,0,9,14,14,11,10,10,11,12,11,11,11,11,13,13,11,10,9,9,8
8503504,Baden,2,1,0,0,0,12,19,23,20,20,19,19,18,18,19,20,20,21,21,20,18,15,15,12,2,1,0,0,0,12,19,23,20,20,19,19,18,18,19,20,20,21,21,20,18,15,15,12
8503505,Wettingen,1,0,0,0,0,7,10,12,10,10,10,10,10,10,10,10,11,11,10,10,8,8,8,7,1,0,0,0,0,7,10,12,10,10,10,10,10,10,10,10,11,11,10,10,8,8,8,7
8503506,Killwangen-Spreitenbach,0,0,0,0,0,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,0,0,0,0,0,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
8503508,Dietikon,0,0,0,0,0,8,15,18,17,14,14,14,14,14,14,14,16,16,16,14,14,11,10,10,0,0,0,0,0,6,15,18,17,14,14,14,14,14,14,14,16,16,16,14,14,11,10,10
8503509,Schlieren,0,0,0,0,2,3,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0,0,0,0,2,3,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
8503511,Neuenhof,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
